Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,37,20,0,0,8,18,35,41,15,0,24,11,30,19,33,19,0,6,5,0,0,0,0,0,23,0,1,0,26
39,14,29,20,119,17,129,48,23,61,7,12,23,30,20,0,10,22,4,15,18,44,89,21,3,0,0,48,9,10
0,18,0,0,0,0,0,0,0,0,75,0,0,70,0,0,50,34,0,12,0,172,0,8,64,57,0,2,8,20
0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,1,0,0,17,0,0,0,0,0,15,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,31,0,13,0,15,0,25,1,0,0,9,20,0,1,0,0,0,28,0,14,0,2,0,0,29,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
